XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
07/20/2022 00:00,1710.12,1713.91,1692.97,1695.31,-1481,-0.87,
07/19/2022 00:00,1708.15,1718.17,1705.1,1709.87,172,0.10,
07/18/2022 00:00,1709.93,1723.59,1706.0,1708.08,-185,-0.11,
07/15/2022 00:00,1712.11,1716.42,1699.2,1706.7,-541,-0.32,
07/14/2022 00:00,1732.27,1733.48,1697.67,1711.62,-2065,-1.21,
07/13/2022 00:00,1725.32,1745.01,1705.6,1731.9,658,0.38,
07/12/2022 00:00,1733.3,1739.29,1722.86,1725.32,-798,-0.46,
07/11/2022 00:00,1742.08,1743.38,1730.9,1733.3,-878,-0.51,
07/08/2022 00:00,1741.94,1751.26,1733.5,1741.8,-14,-0.01,
07/07/2022 00:00,1739.81,1748.93,1736.56,1741.84,203,0.12,
07/06/2022 00:00,1768.82,1772.74,1731.6,1739.96,-2886,-1.66,
07/05/2022 00:00,1809.12,1812.03,1763.8,1769.31,-3981,-2.25,
07/04/2022 00:00,1808.39,1813.84,1803.89,1809.02,63,0.03,
07/01/2022 00:00,1806.52,1810.89,1784.59,1808.46,194,0.11,
06/30/2022 00:00,1818.85,1824.39,1802.41,1806.58,-1227,-0.68,
06/29/2022 00:00,1818.42,1832.59,1813.07,1818.87,45,0.02,
06/28/2022 00:00,1823.18,1829.31,1817.7,1818.37,-481,-0.26,
06/27/2022 00:00,1830.5,1840.86,1819.73,1823.49,-701,-0.38,
06/24/2022 00:00,1824.6,1831.46,1817.17,1827.07,247,0.14,
06/23/2022 00:00,1836.4,1844.69,1821.5,1824.66,-1174,-0.64,
06/22/2022 00:00,1830.95,1847.74,1823.0,1836.56,561,0.31,
06/21/2022 00:00,1838.82,1843.49,1828.3,1831.26,-756,-0.41,
06/20/2022 00:00,1838.47,1845.91,1834.8,1839.09,62,0.03,
06/17/2022 00:00,1851.34,1852.89,1834.15,1839.95,-1139,-0.62,
06/16/2022 00:00,1833.03,1857.45,1816.18,1850.9,1787,0.97,
06/15/2022 00:00,1810.84,1841.58,1808.73,1833.81,2297,1.25,
06/14/2022 00:00,1821.32,1831.29,1804.3,1810.89,-1043,-0.58,
06/13/2022 00:00,1876.47,1877.2,1811.36,1820.88,-5559,-3.05,
06/10/2022 00:00,1847.12,1875.66,1825.97,1871.22,2410,1.29,
06/09/2022 00:00,1852.71,1855.32,1840.23,1847.02,-569,-0.31,
06/08/2022 00:00,1853.63,1859.53,1844.71,1852.74,-89,-0.05,
06/07/2022 00:00,1839.16,1855.42,1836.81,1853.53,1437,0.78,
06/06/2022 00:00,1851.91,1857.53,1838.2,1839.55,-1236,-0.67,
06/03/2022 00:00,1869.91,1873.86,1846.9,1850.89,-1902,-1.03,
06/02/2022 00:00,1845.56,1870.54,1843.4,1869.73,2417,1.29,
06/01/2022 00:00,1836.2,1849.92,1828.1,1845.99,979,0.53,
05/31/2022 00:00,1852.37,1857.05,1834.69,1836.31,-1606,-0.87,
05/30/2022 00:00,1849.64,1863.73,1848.66,1852.42,278,0.15,
05/27/2022 00:00,1851.8,1861.86,1848.01,1853.03,123,0.07,
05/26/2022 00:00,1853.96,1854.24,1841.3,1852.96,-100,-0.05,
05/25/2022 00:00,1867.61,1868.03,1843.11,1854.0,-1361,-0.73,
05/24/2022 00:00,1854.11,1869.59,1849.37,1867.35,1324,0.71,
05/23/2022 00:00,1845.7,1865.09,1845.7,1853.78,808,0.44,
05/20/2022 00:00,1841.7,1849.28,1832.61,1846.4,470,0.25,
05/19/2022 00:00,1816.1,1849.13,1810.94,1842.09,2599,1.41,
05/18/2022 00:00,1814.67,1824.43,1807.34,1816.11,144,0.08,
05/17/2022 00:00,1826.98,1835.93,1812.6,1814.54,-1244,-0.69,
05/16/2022 00:00,1812.49,1829.23,1787.05,1826.38,1389,0.76,
05/13/2022 00:00,1821.29,1828.74,1799.17,1810.27,-1102,-0.61,
05/12/2022 00:00,1853.86,1858.73,1810.33,1820.4,-3346,-1.84,
05/11/2022 00:00,1833.43,1857.48,1831.9,1854.04,2061,1.11,
05/10/2022 00:00,1854.39,1865.27,1833.3,1833.49,-2090,-1.14,
05/09/2022 00:00,1881.39,1882.11,1851.9,1854.67,-2672,-1.44,
05/06/2022 00:00,1874.51,1892.48,1866.23,1883.52,901,0.48,
05/05/2022 00:00,1893.94,1909.69,1872.56,1874.32,-1962,-1.05,
05/04/2022 00:00,1867.8,1894.12,1860.8,1893.94,2614,1.38,
05/03/2022 00:00,1863.59,1878.08,1850.41,1868.32,473,0.25,
05/02/2022 00:00,1897.67,1898.26,1855.3,1863.2,-3447,-1.85,
04/29/2022 00:00,1895.63,1919.37,1893.8,1896.76,113,0.06,
04/28/2022 00:00,1885.53,1896.54,1872.18,1895.56,1003,0.53,
04/27/2022 00:00,1906.61,1906.74,1881.48,1885.62,-2099,-1.11,
04/26/2022 00:00,1899.21,1910.73,1895.48,1906.43,722,0.38,
04/25/2022 00:00,1932.75,1932.75,1891.11,1899.47,-3328,-1.75,
04/22/2022 00:00,1950.68,1955.54,1926.63,1931.57,-1911,-0.99,
04/21/2022 00:00,1957.04,1957.24,1936.97,1950.97,-607,-0.31,
04/20/2022 00:00,1949.48,1958.24,1939.48,1956.81,733,0.37,
04/19/2022 00:00,1976.69,1981.77,1944.41,1949.73,-2696,-1.38,
04/18/2022 00:00,1985.12,1998.16,1975.5,1977.18,-794,-0.40,
04/15/2022 00:00,1972.91,1974.4,1972.9,1974.4,149,0.08,
04/14/2022 00:00,1977.15,1980.21,1961.52,1972.9,-425,-0.22,
04/13/2022 00:00,1965.96,1981.4,1962.4,1977.08,1112,0.56,
04/12/2022 00:00,1952.67,1978.28,1949.39,1965.94,1327,0.67,
04/11/2022 00:00,1943.99,1969.06,1939.5,1952.84,885,0.45,
04/08/2022 00:00,1932.87,1947.91,1927.85,1947.33,1446,0.74,
04/07/2022 00:00,1924.04,1937.61,1920.0,1933.02,898,0.46,
04/06/2022 00:00,1920.17,1932.74,1915.7,1923.76,359,0.19,
04/05/2022 00:00,1931.57,1944.17,1918.23,1920.52,-1105,-0.58,
04/04/2022 00:00,1924.55,1936.61,1916.15,1931.48,693,0.36,
04/01/2022 00:00,1936.7,1939.45,1918.01,1924.3,-1240,-0.64,
03/31/2022 00:00,1933.67,1949.15,1919.22,1936.66,299,0.15,
03/30/2022 00:00,1916.13,1937.92,1915.97,1933.82,1769,0.91,
03/29/2022 00:00,1923.82,1928.72,1890.7,1916.41,-741,-0.39,
03/28/2022 00:00,1957.27,1958.19,1917.4,1923.92,-3335,-1.73,
03/25/2022 00:00,1959.45,1964.01,1943.86,1957.81,-164,-0.08,
03/24/2022 00:00,1945.65,1965.93,1937.1,1959.07,1342,0.69,
03/23/2022 00:00,1919.48,1948.23,1915.2,1946.1,2662,1.37,
03/22/2022 00:00,1935.41,1938.2,1910.43,1919.17,-1624,-0.85,
03/21/2022 00:00,1918.25,1939.84,1918.25,1935.25,1700,0.88,
03/18/2022 00:00,1943.74,1945.17,1917.79,1920.98,-2276,-1.18,
03/17/2022 00:00,1926.59,1949.47,1925.32,1943.7,1711,0.88,
03/16/2022 00:00,1917.19,1929.1,1895.19,1926.83,964,0.50,
03/15/2022 00:00,1950.35,1951.95,1906.6,1917.92,-3243,-1.69,
03/14/2022 00:00,1973.68,1978.49,1949.36,1951.95,-2173,-1.11,
03/11/2022 00:00,1995.89,1996.83,1958.77,1987.4,-849,-0.43,
03/10/2022 00:00,1989.91,2008.78,1970.5,1995.11,520,0.26,
03/09/2022 00:00,2043.66,2058.76,1976.86,1989.76,-5390,-2.71,
03/08/2022 00:00,1999.03,2069.35,1980.94,2043.46,4443,2.17,
03/07/2022 00:00,1988.57,2002.33,1961.08,1998.48,991,0.50,
03/04/2022 00:00,1935.03,1971.36,1930.68,1969.91,3488,1.77,
03/03/2022 00:00,1928.84,1940.93,1922.1,1934.65,581,0.30,
03/02/2022 00:00,1942.35,1947.38,1914.82,1928.81,-1354,-0.70,
03/01/2022 00:00,1906.16,1949.63,1901.2,1942.14,3598,1.85,
02/28/2022 00:00,1908.44,1919.01,1890.2,1906.09,-235,-0.12,
02/25/2022 00:00,1906.36,1921.06,1882.7,1889.02,-1734,-0.92,
02/24/2022 00:00,1910.77,1973.64,1880.63,1906.06,-471,-0.25,
02/23/2022 00:00,1898.32,1911.48,1889.57,1910.6,1228,0.64,
02/22/2022 00:00,1909.49,1913.64,1891.75,1898.04,-1145,-0.60,
02/21/2022 00:00,1904.77,1913.78,1887.46,1909.24,447,0.23,
02/18/2022 00:00,1899.87,1902.5,1886.65,1897.24,-263,-0.14,
02/17/2022 00:00,1869.8,1900.79,1867.1,1899.83,3003,1.58,
02/16/2022 00:00,1853.04,1872.49,1849.8,1869.59,1655,0.89,
02/15/2022 00:00,1871.04,1879.36,1845.06,1852.8,-1824,-0.98,
02/14/2022 00:00,1859.26,1873.84,1850.92,1870.92,1166,0.62,
02/11/2022 00:00,1826.57,1864.99,1821.6,1858.28,3171,1.71,
02/10/2022 00:00,1832.41,1841.91,1825.55,1826.88,-553,-0.30,
02/09/2022 00:00,1825.69,1835.59,1824.3,1832.52,683,0.37,
02/08/2022 00:00,1821.81,1828.68,1815.32,1825.76,395,0.22,
02/07/2022 00:00,1810.02,1823.34,1808.58,1821.86,1184,0.65,
02/04/2022 00:00,1805.5,1809.73,1802.42,1807.47,197,0.11,
02/03/2022 00:00,1807.64,1808.9,1788.2,1805.53,-211,-0.12,
02/02/2022 00:00,1800.49,1810.72,1794.52,1807.62,713,0.39,
02/01/2022 00:00,1797.5,1808.72,1795.1,1800.49,299,0.17,
01/31/2022 00:00,1788.89,1799.61,1785.4,1797.81,892,0.50,
01/28/2022 00:00,1796.1,1799.34,1780.01,1791.3,-480,-0.27,
01/27/2022 00:00,1821.73,1821.73,1791.3,1797.04,-2469,-1.37,
01/26/2022 00:00,1849.28,1849.41,1815.11,1821.91,-2737,-1.50,
01/25/2022 00:00,1843.43,1853.65,1834.96,1849.38,595,0.32,
01/24/2022 00:00,1834.12,1843.9,1827.97,1843.3,918,0.50,
01/21/2022 00:00,1838.61,1842.85,1828.5,1833.88,-473,-0.26,
01/20/2022 00:00,1838.61,1847.58,1835.94,1838.84,23,0.01,
01/19/2022 00:00,1814.22,1843.16,1810.12,1838.5,2428,1.32,
01/18/2022 00:00,1818.93,1822.63,1805.7,1814.07,-486,-0.27,
01/17/2022 00:00,1815.39,1823.02,1814.7,1819.09,370,0.20,
01/14/2022 00:00,1820.61,1828.84,1813.93,1816.7,-391,-0.22,
01/13/2022 00:00,1825.24,1827.85,1812.36,1820.83,-441,-0.24,
01/12/2022 00:00,1820.35,1827.9,1814.11,1825.12,477,0.26,
01/11/2022 00:00,1801.36,1823.05,1801.16,1820.6,1924,1.06,
01/10/2022 00:00,1794.85,1802.47,1789.91,1801.24,639,0.35,
01/07/2022 00:00,1791.11,1798.38,1786.55,1795.89,478,0.27,
01/06/2022 00:00,1810.05,1811.21,1786.35,1791.37,-1868,-1.04,
01/05/2022 00:00,1813.84,1829.6,1808.17,1810.04,-380,-0.21,
01/04/2022 00:00,1803.66,1816.48,1798.71,1813.61,995,0.55,
01/03/2022 00:00,1828.11,1831.5,1798.16,1803.85,-2426,-1.34,
12/31/2021 00:00,1815.39,1830.05,1814.1,1828.29,1290,0.71,
12/30/2021 00:00,1804.32,1817.09,1795.8,1815.27,1095,0.60,
12/29/2021 00:00,1805.64,1807.63,1788.8,1804.25,-139,-0.08,
12/28/2021 00:00,1812.37,1820.07,1804.6,1806.27,-610,-0.34,
12/27/2021 00:00,1806.98,1813.39,1803.28,1812.03,505,0.28,
12/24/2021 00:00,1808.4,1812.03,1804.3,1807.99,-41,-0.02,
